rule_id,source_id,source_path,source_start_line,source_end_line,source_text,intent,applies_when,subject,rule_layer,candidate_category,candidate_item,secondary_impacts,cluster_id,treatment,target_rule_id,notes
RULE-W0-014,SRC-W0-001,docs/W0-intake/00-main.md,30,30,优先在一份 work brief 或一张决策表中记录：,优先用单一 work brief 或决策表记录 intake,记录 intake 决策时,intake 记录,artifact-or-evidence,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-DECISION-RECORD,模板字段另记为示例
RULE-W0-015,SRC-W0-001,docs/W0-intake/00-main.md,47,47,一份记录足够时，不再拆成 strategy map、work-intake、decision board、roadmap 和 focus review。,单一记录足够时不得继续拆分规划工件,一份记录已足以支持取舍和恢复时,planning 工件,principle-input,工程交付,计划,,CLUSTER-PLANNING-BACKUP-RESTORE-RECOVERY-FP-SRC-W0-001,rewrite,PLAN-SINGLE-RECORD-DEFAULT,G5 计划重写；独立权威目标
RULE-W0-016,SRC-W0-001,docs/W0-intake/00-main.md,51,51,1. 先确认问题、义务或风险是否真实存在，而不是从解决方案名称开始。,先确认问题、义务或风险真实存在,进行候选判断时,intake 判断顺序,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-PROBLEM-FIRST,独立判断
RULE-W0-017,SRC-W0-001,docs/W0-intake/00-main.md,51,51,1. 先确认问题、义务或风险是否真实存在，而不是从解决方案名称开始。,不得从解决方案名称开始 intake 判断,进行候选判断时,intake 判断顺序,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-PROBLEM-FIRST,同句拆分
RULE-W0-018,SRC-W0-001,docs/W0-intake/00-main.md,52,52,2. 明确当前最稀缺的容量或注意力约束。,明确当前最稀缺的容量或注意力约束,比较候选事项前,容量约束,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-CANDIDATE-COMPARISON,独立判断
RULE-W0-019,SRC-W0-001,docs/W0-intake/00-main.md,53,53,3. 比较预期用户价值、风险降低、证据强度、机会成本和可逆性。,比较候选事项的预期用户价值,比较候选事项时,取舍维度,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-CANDIDATE-COMPARISON,同句多维度拆分
RULE-W0-020,SRC-W0-001,docs/W0-intake/00-main.md,53,53,3. 比较预期用户价值、风险降低、证据强度、机会成本和可逆性。,比较候选事项的风险降低,比较候选事项时,取舍维度,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-CANDIDATE-COMPARISON,同句多维度拆分
RULE-W0-021,SRC-W0-001,docs/W0-intake/00-main.md,53,53,3. 比较预期用户价值、风险降低、证据强度、机会成本和可逆性。,比较候选事项的证据强度,比较候选事项时,取舍维度,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-CANDIDATE-COMPARISON,同句多维度拆分
RULE-W0-022,SRC-W0-001,docs/W0-intake/00-main.md,53,53,3. 比较预期用户价值、风险降低、证据强度、机会成本和可逆性。,比较候选事项的机会成本,比较候选事项时,取舍维度,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-CANDIDATE-COMPARISON,同句多维度拆分
RULE-W0-023,SRC-W0-001,docs/W0-intake/00-main.md,53,53,3. 比较预期用户价值、风险降低、证据强度、机会成本和可逆性。,比较候选事项的可逆性,比较候选事项时,取舍维度,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-CANDIDATE-COMPARISON,同句多维度拆分
RULE-W0-024,SRC-W0-001,docs/W0-intake/00-main.md,54,54,4. 限制同时进行的工作；新事项进入 now 前，明确哪个事项退出或让位。,限制同时进行的工作数量,安排 now 工作时,在制品限制,normative-requirement,立项,选题,,CLUSTER-SELECTION-GOVERNANCE-FP-SRC-W0-001,merge,TOPIC-WIP-DISPLACEMENT;PLAN-EXPLORE-WIP-LIMIT,同句拆分
RULE-W0-025,SRC-W0-001,docs/W0-intake/00-main.md,54,54,4. 限制同时进行的工作；新事项进入 now 前，明确哪个事项退出或让位。,新事项进入 now 前明确退出或让位事项,新事项准备进入 now 时,容量置换,normative-requirement,立项,选题,,CLUSTER-SELECTION-CAPACITY-FOCUS-FP-SRC-W0-001,merge,TOPIC-WIP-DISPLACEMENT,同句拆分
RULE-W0-026,SRC-W0-001,docs/W0-intake/00-main.md,55,55,5. 对不做、推迟和缩小范围写一句理由，避免重复讨论。,为不做、推迟或缩小范围记录理由,作出不做、推迟或缩小范围决定时,决策依据,artifact-or-evidence,立项,选题,,CLUSTER-SELECTION-STOP-TRADEOFF-FP-SRC-W0-001,merge,TOPIC-NON-SELECTION-RECORD,独立判断
RULE-W0-027,SRC-W0-001,docs/W0-intake/00-main.md,56,56,6. 只为被选中的事项加载一个相关 playbook；事项进入 Standard/High-risk 实现后，创建或继续 OpenSpec change。,只为被选中的事项加载一个相关 playbook,事项已被选中时,上下文加载,normative-requirement,立项,选题,,CLUSTER-SELECTION-GOVERNANCE-FP-SRC-W0-001,rewrite,TOPIC-SELECTED-CONTEXT,同句拆分
RULE-W0-028,SRC-W0-001,docs/W0-intake/00-main.md,56,56,6. 只为被选中的事项加载一个相关 playbook；事项进入 Standard/High-risk 实现后，创建或继续 OpenSpec change。,Standard/High-risk 实现应创建或继续 OpenSpec change,被选事项进入 Standard/High-risk 实现时,OpenSpec change,artifact-or-evidence,工程交付,实现,,CLUSTER-IMPLEMENTATION-PLANNING-GOVERNANCE-ROUTING-FP-SRC-W0-001,merge,IMPL-SELECTED-STANDARD-HIGH-RISK-CHANGE,G5 实现重写；合并 2 条同权威意图
RULE-W0-029,SRC-W0-001,docs/W0-intake/00-main.md,58,58,分数模型可以作为讨论输入，但不得自动决定产品方向或公开承诺。,分数模型仅可作为讨论输入,使用分数模型辅助取舍时,评分模型,principle-input,立项,选题,,CLUSTER-SELECTION-AI-MODEL-ROUTING,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,同句拆分
RULE-W0-030,SRC-W0-001,docs/W0-intake/00-main.md,58,58,分数模型可以作为讨论输入，但不得自动决定产品方向或公开承诺。,分数模型不得自动决定产品方向,使用分数模型辅助取舍时,产品方向,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-AI-MODEL-ROUTING,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,同句拆分
RULE-W0-031,SRC-W0-001,docs/W0-intake/00-main.md,58,58,分数模型可以作为讨论输入，但不得自动决定产品方向或公开承诺。,分数模型不得自动作出公开承诺,使用分数模型辅助取舍时,公开承诺,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-AI-MODEL-ROUTING,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,同句拆分
RULE-W0-032,SRC-W0-001,docs/W0-intake/00-main.md,62,62,- 目标用户、产品方向和当前最重要结果；,目标用户、产品方向和当前最重要结果必须由人决定,涉及产品取舍时,产品方向,risk-or-approval-boundary,产品设计,定义,,CLUSTER-DEFINITION-SCOPE-OUTCOME-SRC-W0-001,merge,DEFINITION-HUMAN-PRODUCT-DECISION,人工判断点
RULE-W0-033,SRC-W0-001,docs/W0-intake/00-main.md,63,63,- now/expedite、定价、数据边界和长期架构锁定；,now/expedite、定价、数据边界和长期架构锁定必须由人决定,涉及所列高影响取舍时,高影响取舍,risk-or-approval-boundary,工程交付,技术设计,,CLUSTER-TECH-DESIGN-BILLING-ENTITLEMENT-PRICING-FP-SRC-W0-001,rewrite,TECH-157-BILLING-ENTITLEMENT-PRICING-S01,人工判断点
RULE-W0-034,SRC-W0-001,docs/W0-intake/00-main.md,64,64,- 客户定制、公开日期、SLA、合同和外部 roadmap 承诺；,客户定制、公开日期、SLA、合同和外部 roadmap 承诺必须由人决定,涉及外部承诺时,客户与公开承诺,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-EXTERNAL-CLAIM-COMMITMENT,rewrite,TOPIC-EXTERNAL-COMMITMENT,人工判断点
RULE-W0-035,SRC-W0-001,docs/W0-intake/00-main.md,65,65,- 是否接受无充分证据的高影响赌注；,接受证据不足的高影响赌注必须由人决定,高影响赌注缺乏充分证据时,风险接受,risk-or-approval-boundary,工程交付,验证,,CLUSTER-VERIFICATION-TEST-VERIFICATION-EVIDENCE-SRC-W0-001,rewrite,VERIFY-EVIDENCE-W0-001-L065,G5 验证重写
RULE-W0-036,SRC-W0-001,docs/W0-intake/00-main.md,66,66,- 是否中止、停车或缩小仍有收入、安全、合规或客户影响的工作。,中止、停车或缩小仍有高影响的工作必须由人决定,工作仍有收入、安全、合规或客户影响时,停止或缩小,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-STOP-TRADEOFF-FP-SRC-W0-001,rewrite,TOPIC-HIGH-IMPACT-SCOPE-REDUCTION,人工判断点
RULE-W0-037,SRC-W0-001,docs/W0-intake/00-main.md,68,68,AI 可以整理候选、查找重复项、摘要证据和呈现选项，但不得自行把事项放入 now、作出公开承诺或杀掉高影响工作。,AI 可整理候选、查重、摘要证据和呈现选项,支持 intake 时,AI 辅助范围,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,允许边界
RULE-W0-038,SRC-W0-001,docs/W0-intake/00-main.md,68,68,AI 可以整理候选、查找重复项、摘要证据和呈现选项，但不得自行把事项放入 now、作出公开承诺或杀掉高影响工作。,AI 不得自行把事项放入 now,支持 intake 时,AI 决策边界,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,禁止边界
RULE-W0-039,SRC-W0-001,docs/W0-intake/00-main.md,68,68,AI 可以整理候选、查找重复项、摘要证据和呈现选项，但不得自行把事项放入 now、作出公开承诺或杀掉高影响工作。,AI 不得自行作出公开承诺,支持 intake 时,AI 决策边界,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,禁止边界
RULE-W0-040,SRC-W0-001,docs/W0-intake/00-main.md,68,68,AI 可以整理候选、查找重复项、摘要证据和呈现选项，但不得自行把事项放入 now、作出公开承诺或杀掉高影响工作。,AI 不得自行杀掉高影响工作,支持 intake 时,AI 决策边界,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-STOP-TRADEOFF-FP-SRC-W0-001,merge,TOPIC-DECISION-AUTOMATION-BOUNDARY,禁止边界
RULE-W0-041,SRC-W0-001,docs/W0-intake/00-main.md,72,72,只有反复使用证明有净收益时才增加：,只有反复使用证明有净收益时才增加 planning 扩展,考虑增加 planning 扩展时,流程扩展,principle-input,立项,选题,,CLUSTER-SELECTION-GOVERNANCE-FP-SRC-W0-001,merge,TOPIC-GOVERNANCE-EXTENSION;EVALUATION-PROCESS-NET-BENEFIT,增加条件
RULE-W0-042,SRC-W0-001,docs/W0-intake/00-main.md,74,74,- decision board：需要持续比较多个候选时；,持续比较多个候选时才增加 decision board,考虑 decision board 时,planning 扩展,implementation-detail,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-GOVERNANCE-EXTENSION,触发条件
RULE-W0-043,SRC-W0-001,docs/W0-intake/00-main.md,75,75,- Now/Next/Later roadmap：需要跨会话或对外沟通时；,需要跨会话或对外沟通时才增加 Now/Next/Later roadmap,考虑 roadmap 时,planning 扩展,implementation-detail,立项,选题,,CLUSTER-SELECTION-GOVERNANCE-FP-SRC-W0-001,merge,TOPIC-GOVERNANCE-EXTENSION,触发条件
RULE-W0-044,SRC-W0-001,docs/W0-intake/00-main.md,76,76,- focus review：周期性取舍确实改变决定时；,周期性取舍确实改变决定时才增加 focus review,考虑 focus review 时,planning 扩展,implementation-detail,产品设计,体验设计,,CLUSTER-EXPERIENCE-KEYBOARD-FOCUS-FP-SRC-W0-001,rewrite,EXPERIENCE-FOCUS-REVIEW-TRIGGER,触发条件
RULE-W0-045,SRC-W0-001,docs/W0-intake/00-main.md,77,77,- intake form：输入质量持续造成返工时；,输入质量持续造成返工时才增加 intake form,考虑 intake form 时,planning 扩展,implementation-detail,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-GOVERNANCE-EXTENSION,触发条件
RULE-W0-046,SRC-W0-001,docs/W0-intake/00-main.md,78,78,- 自动提醒：过期决定已经形成真实风险时。,过期决定形成真实风险时才增加自动提醒,考虑自动提醒时,planning 扩展,implementation-detail,立项,选题,,CLUSTER-SELECTION-RISK-ACCEPTANCE,merge,TOPIC-GOVERNANCE-EXTENSION,触发条件
RULE-W0-047,SRC-W0-001,docs/W0-intake/00-main.md,80,80,这些扩展可以放在 `planning/`，但目录结构不是验收条件。,planning 扩展可放在 planning 目录,创建 planning 扩展时,目录落点,implementation-detail,立项,选题,,CLUSTER-SELECTION-GOVERNANCE-FP-SRC-W0-001,merge,TOPIC-GOVERNANCE-EXTENSION,允许的实现细节
RULE-W0-048,SRC-W0-001,docs/W0-intake/00-main.md,80,80,这些扩展可以放在 `planning/`，但目录结构不是验收条件。,目录结构不得作为 planning 验收条件,验收 planning 扩展时,验收边界,normative-requirement,工程交付,验证,,CLUSTER-VERIFICATION-GOVERNANCE-MAIN-FP-SRC-W0-001,rewrite,VERIFY-WORKFLOW-GATE-W0-001-L080,G5 验证重写
RULE-W0-049,SRC-W0-001,docs/W0-intake/00-main.md,84,84,本次 intake 完成时应有一个明确决定、owner、理由和复查日期。没有被选择的事项不需要无限保留。,intake 完成时应有明确决定,判断 intake 是否完成时,完成证据,artifact-or-evidence,立项,调研,,CLUSTER-RESEARCH-PROBLEM-EVIDENCE-FP-SRC-W0-001,merge,RESEARCH-DECISION-HANDOFF,同句多字段拆分
RULE-W0-050,SRC-W0-001,docs/W0-intake/00-main.md,84,84,本次 intake 完成时应有一个明确决定、owner、理由和复查日期。没有被选择的事项不需要无限保留。,intake 完成时应有 owner,判断 intake 是否完成时,完成证据,artifact-or-evidence,立项,调研,,CLUSTER-RESEARCH-PROBLEM-EVIDENCE-FP-SRC-W0-001,merge,RESEARCH-DECISION-HANDOFF,同句多字段拆分
RULE-W0-051,SRC-W0-001,docs/W0-intake/00-main.md,84,84,本次 intake 完成时应有一个明确决定、owner、理由和复查日期。没有被选择的事项不需要无限保留。,intake 完成时应有理由,判断 intake 是否完成时,完成证据,artifact-or-evidence,立项,调研,,CLUSTER-RESEARCH-PROBLEM-EVIDENCE-FP-SRC-W0-001,merge,RESEARCH-DECISION-HANDOFF,同句多字段拆分
RULE-W0-052,SRC-W0-001,docs/W0-intake/00-main.md,84,84,本次 intake 完成时应有一个明确决定、owner、理由和复查日期。没有被选择的事项不需要无限保留。,intake 完成时应有复查日期,判断 intake 是否完成时,完成证据,artifact-or-evidence,立项,调研,,CLUSTER-RESEARCH-PROBLEM-EVIDENCE-FP-SRC-W0-001,merge,RESEARCH-DECISION-HANDOFF,同句多字段拆分
RULE-W0-053,SRC-W0-001,docs/W0-intake/00-main.md,84,84,本次 intake 完成时应有一个明确决定、owner、理由和复查日期。没有被选择的事项不需要无限保留。,未选择事项无需无限保留,intake 结束且事项未被选择时,事项保留,normative-requirement,立项,选题,,CLUSTER-SELECTION-INTAKE-RECORD,merge,TOPIC-NON-SELECTION-RECORD,同句拆分
RULE-W0-054,SRC-W0-001,docs/W0-intake/00-main.md,88,88,- 同一事实需要在两个以上文件重复更新；,同一事实需在两个以上文件更新时合并或删除 planning 工件,评估 planning 工件净收益时,删除条件,principle-input,立项,选题,,CLUSTER-SELECTION-GOVERNANCE-FP-SRC-W0-001,merge,TOPIC-GOVERNANCE-RETIREMENT,删除触发
RULE-W0-055,SRC-W0-001,docs/W0-intake/00-main.md,89,89,- 连续两次复盘没有改变决定、风险或下一步；,连续两次复盘无决策变化时合并或删除 planning 工件,评估 planning 工件净收益时,删除条件,principle-input,运行维护,评估,,CLUSTER-ASSESSMENT-GOVERNANCE-MAIN-SRC-W0-001,rewrite,EVALUATION-ARTIFACT-001,G5 评估；重写来源数=1；目标来源总数=1；目标=EVALUATION-ARTIFACT-001；原注=删除触发；保留意图：连续两次复盘无决策变化时合并或删除 planning 工件
RULE-W0-056,SRC-W0-001,docs/W0-intake/00-main.md,90,90,- 维护工件的时间高于避免重复讨论的收益；,维护成本高于避免重复讨论收益时合并或删除 planning 工件,评估 planning 工件净收益时,删除条件,principle-input,立项,选题,,CLUSTER-SELECTION-GOVERNANCE-FP-SRC-W0-001,merge,TOPIC-GOVERNANCE-RETIREMENT,删除触发
RULE-W0-057,SRC-W0-001,docs/W0-intake/00-main.md,91,91,- 格式完整但实际优先级仍由聊天或临场决定；,形式完整但不承载实际优先级时合并或删除 planning 工件,评估 planning 工件有效性时,删除条件,principle-input,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W0-001,merge,TOPIC-GOVERNANCE-RETIREMENT,删除触发
RULE-W0-058,SRC-W0-001,docs/W0-intake/00-main.md,92,92,- 工件被误用为客户承诺或 AI 自动决策依据。,planning 工件被误用为客户承诺或 AI 自动决策依据时应合并或删除,评估 planning 工件风险时,删除条件,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-RISK-ACCEPTANCE,merge,TOPIC-GOVERNANCE-RETIREMENT,删除触发
RULE-W1-001,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,W1 不负责排研发优先级，也不替代 OpenSpec、AI eval、实现、验证或发布门禁。,W1 不负责研发优先级排序,使用 W1 时,W1 职责边界,normative-requirement,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W1-001,rewrite,TOPIC-RESEARCH-PRIORITY-BOUNDARY,同句边界拆分
RULE-W1-002,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,W1 不负责排研发优先级，也不替代 OpenSpec、AI eval、实现、验证或发布门禁。,W1 不替代 OpenSpec,使用 W1 时,W1 职责边界,normative-requirement,立项,选题,,CLUSTER-SELECTION-PLANNING-GOVERNANCE-ROUTING-FP-SRC-W1-001,rewrite,TOPIC-RESEARCH-SPEC-BOUNDARY,同句边界拆分
RULE-W1-003,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,W1 不负责排研发优先级，也不替代 OpenSpec、AI eval、实现、验证或发布门禁。,W1 不替代 AI eval,使用 W1 时,W1 职责边界,normative-requirement,工程交付,验证,,CLUSTER-VERIFICATION-AI-EVAL-FIXTURE-SRC-W1-001,rewrite,VERIFY-AI-EVAL-FIXTURE-W1-001-L009,G5 验证重写
RULE-W1-004,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,W1 不负责排研发优先级，也不替代 OpenSpec、AI eval、实现、验证或发布门禁。,W1 不替代实现,使用 W1 时,W1 职责边界,normative-requirement,工程交付,实现,,CLUSTER-IMPLEMENTATION-GOVERNANCE-MAIN-SRC-W1-001,merge,IMPL-DISCOVERY-AND-SPEC-BOUNDARY,G5 实现重写；合并 2 条同权威意图
RULE-W1-005,SRC-W1-001,docs/W1-discovery/00-main.md,9,9,W1 不负责排研发优先级，也不替代 OpenSpec、AI eval、实现、验证或发布门禁。,W1 不替代验证或发布门禁,使用 W1 时,W1 职责边界,normative-requirement,工程交付,发布,,CLUSTER-RELEASE-RELEASE-READINESS-DEPLOYMENT-SRC-W1-001,supersede,RELEASE-SCOPE-001,由 RELEASE-SCOPE-001 取代旧阶段、旧入口或旧专项表述；保留本条适用边界：W1 不替代验证或发布门禁
RULE-W1-006,SRC-W1-001,docs/W1-discovery/00-main.md,13,13,W1 要让一人公司在写代码前完成最小产品判断：,写代码前完成最小产品判断,用户可见能力进入实现前,产品发现,principle-input,立项,调研,,CLUSTER-RESEARCH-GOVERNANCE-FP-SRC-W1-001,merge,RESEARCH-PREIMPLEMENTATION-GATE,总要求
RULE-W1-007,SRC-W1-001,docs/W1-discovery/00-main.md,15,15,- 谁因为这件事更成功？,识别因能力而更成功的目标用户,进行最小产品判断时,目标用户,normative-requirement,产品设计,定义,,CLUSTER-DEFINITION-SCOPE-OUTCOME-SRC-W1-001,merge,DEFINITION-PRODUCT-BET,核心问题
RULE-W1-008,SRC-W1-001,docs/W1-discovery/00-main.md,16,16,- 过去真实行为里出现了什么问题？,从过去真实行为识别问题,进行最小产品判断时,真实问题,normative-requirement,立项,调研,,CLUSTER-RESEARCH-PROBLEM-EVIDENCE-FP-SRC-W1-001,merge,RESEARCH-REAL-WORLD-EVIDENCE,核心问题
RULE-W1-009,SRC-W1-001,docs/W1-discovery/00-main.md,17,17,- 本轮只押注哪个 outcome？,本轮只选择一个 outcome,进行最小产品判断时,产品 outcome,normative-requirement,立项,调研,,CLUSTER-RESEARCH-GOVERNANCE-FP-SRC-W1-001,rewrite,RESEARCH-FOCUSED-OUTCOME,核心问题
RULE-W1-010,SRC-W1-001,docs/W1-discovery/00-main.md,18,18,- 哪个指标能代表真实价值，哪些 guardrail 不能被伤害？,选择代表真实价值的指标,定义产品指标时,主指标,normative-requirement,立项,调研,,CLUSTER-RESEARCH-ANALYTICS-LEARNING-FP-SRC-W1-001,merge,RESEARCH-VALUE-METRIC-AUTHORITY,同句拆分
RULE-W1-011,SRC-W1-001,docs/W1-discovery/00-main.md,18,18,- 哪个指标能代表真实价值，哪些 guardrail 不能被伤害？,识别不得被伤害的 guardrail,定义产品指标时,guardrail,normative-requirement,产品设计,定义,,CLUSTER-DEFINITION-PRODUCT-METRICS-FP-SRC-W1-001,merge,DEFINITION-GUARDRAIL-METRICS,同句拆分
RULE-W1-012,SRC-W1-001,docs/W1-discovery/00-main.md,19,19,- 证据、实验和停止条件是否足够支撑继续投入？,确认继续投入有足够的证据、实验和停止条件,决定是否继续投入时,继续投入证据,risk-or-approval-boundary,立项,选题,,CLUSTER-SELECTION-PRIORITY-VALUE-FP-SRC-W1-001,merge,TOPIC-INVESTMENT-EVIDENCE-GATE;PLAN-EXPLORE-SHOWCASE-CADENCE,核心问题
