source_id,path,title,original_purpose,applicability,major_topics,referenced_sources,known_overlaps,known_conflicts,review_status,reviewed_at
"SRC-W3-003","docs/W3-ai-behavior/02-ai-eval-safety-standard.md","W3 触发专项：AI eval、数据、红队与内容安全规范","把 eval 数据、红队、内容安全和发布决定收敛为可追溯的 AI safety gate","AI capability 需要数据来源、标注、对抗样本、moderation、通知申诉或 safety release review 时使用","数据 provenance；rubric；红队；moderation；notice/appeal；安全发布阻断；人工决定","docs/01-minimal-rd-kernel.md;docs/W3-ai-behavior/00-main.md;W8","与 prompt eval、数据生命周期、内容安全、发布门禁和用户投诉学习存在重叠","来源明确声明冲突时以最小内核为准；安全失败接受与发布裁决必须保留人工边界",reviewed,2026-07-16
"SRC-W3-004","docs/W3-ai-behavior/03-ai-context-memory-retrieval-standard.md","W3 触发专项：AI 记忆、上下文来源、RAG 与引用规范","统一治理长期记忆、用户偏好、RAG 来源、检索、引用、权限和删除路径","AI capability 使用长期记忆、用户偏好、workspace context、RAG、文件或向量检索、引用、删除或 grounding 时使用","上下文来源；memory 类型；source registry；retrieval policy；用户控制；删除；引用；注入防护","docs/01-minimal-rd-kernel.md;docs/W3-ai-behavior/00-main.md","与客户数据生命周期、Auth/tenant、RAG 安全、AI memory 和隐私删除规则存在重叠","来源明确声明冲突时以最小内核为准；跨用户和高影响领域使用必须保留人工裁决",reviewed,2026-07-16
"SRC-W3-005","docs/W3-ai-behavior/04-ai-runtime-routing-tools-standard.md","AI 运行时、模型路由与工具治理规范","用统一 AI runtime 契约治理模型路由、供应商、fallback、工具、连接器、权限、审批、审计与回滚","W3 主入口已触发模型或供应商 route、fallback、工具运行时、connector、MCP、沙箱、审批、幂等或审计变化时使用","route policy；model/tool registry；权限；eval gate；fallback；Go/Vite 实现边界；agent 限额；人工门禁","docs/01-minimal-rd-kernel.md;docs/W3-ai-behavior/00-main.md;docs/W3-ai-behavior/01-prompt-eval-agent-workflow-standard.md;W2;W4;W7","与 W2 成本供应商数据边界、W3 eval/context、安全红队、W4 配置与 worker、W7 运维审计存在重叠","来源明确声明冲突时以最小内核为准；生产默认 route 与高风险工具授权必须保留人工裁决",reviewed,2026-07-16
"SRC-W4-001","docs/W4-build/00-main.md","W4 Build 核心规范","把 W2/W3 已定义的行为、边界和风险落成可运行、可验证、可交付的系统构件","实现涉及服务、前端、数据、配置、AI coding、worker、外部副作用、文档或本地环境时使用","W4 范围；最小产出；专项触发；人工判断；进入 W5 的出口；回退规则","docs/01-minimal-rd-kernel.md;docs/W0-intake/00-main.md;docs/W1-discovery/00-main.md;docs/W2-openspec-risk/00-main.md;docs/W3-ai-behavior/00-main.md;W5;W6;W7;W8;W9","与 W2 风险和契约、W3 AI 行为、W5 验证、W6 发布及各 W4 专项存在边界重叠","来源明确声明冲突时以最小内核为准；实现不得暗改上游边界",reviewed,2026-07-16
"SRC-W4-002","docs/W4-build/01-go-kratos-sqlc-grpc-service-standard.md","W4 Build 触发专项：Go/Kratos/sqlc/gRPC 服务端研发规范 v0.1","提供 Go、Kratos、Protobuf/gRPC、sqlc 服务的可运行、可测试、可观测、可恢复落地路径","实现涉及 Go/Kratos、Protobuf/gRPC、sqlc、repository、service 层、后端测试或最小运维时使用","技术默认；模板 provenance；服务目录；API；数据访问；实现顺序；质量命令；运维；人工门禁","docs/01-minimal-rd-kernel.md;docs/W4-build/00-main.md;Kratos;gRPC;Protobuf;sqlc;Go;Google SRE","与 W2 API/架构、W4 数据迁移/配置/工作区、W5 测试和 W7 运维存在重叠","来源明确声明冲突时以最小内核为准；技术版本与默认数据库选择需后续时效复核",reviewed,2026-07-16
"SRC-W4-003","docs/W4-build/02-vite-vercel-frontend-standard.md","W4 Build 触发专项：Vite + Vercel 风格前端研发规范 v0.1","提供 Vite 前端的轻量、可构建、可预览、可测试、可访问且视觉一致的落地路径","实现涉及 Vite、React/TypeScript、前端 adapter、设计 token、可访问交互、构建、预览或前端门禁时使用","前端默认；目录；API/config；语义 token；可访问性；性能/发布命令；人工门禁","docs/01-minimal-rd-kernel.md;docs/W4-build/00-main.md;Vite;Vitest;Vercel Geist;WCAG;MDN;Web Vitals","与 W2 API 契约、W4 配置、W5 可访问性/性能、W6 发布存在重叠","来源明确声明冲突时以最小内核为准；框架版本和视觉默认需后续时效与品牌边界复核",reviewed,2026-07-16
"SRC-W4-004","docs/W4-build/03-data-migration-standard.md","W4 Build 触发专项：数据与数据库迁移规范 v0.1","约束 schema、query、migration、backfill、生产数据修复、备份恢复和隐私数据处理的版本化与恢复性","实现涉及 schema、query、migration、sqlc、backfill、生产数据修复、备份恢复前置或隐私数据时使用","SQL 默认；data change 事实源；sqlc 同步；生产迁移；backfill；隐私；备份恢复；人工门禁","docs/01-minimal-rd-kernel.md;docs/W4-build/00-main.md;MySQL;PostgreSQL;sqlc;golang-migrate;OWASP;NIST Privacy Framework;GDPR;Google SRE","与服务数据访问、异步 worker、发布流水线、客户数据生命周期和备份连续性规则存在重叠","来源明确声明冲突时以最小内核为准；破坏性生产变更与隐私用途必须保留人工 checkpoint",reviewed,2026-07-16
"SRC-W4-005","docs/W4-build/04-configuration-feature-flag-standard.md","W4 Build 触发专项：配置、环境、Feature Flag 与运行时变更规范","使配置、环境差异、Feature Flag、kill switch 和运行时变更可审查、回滚和清理","实现涉及配置注册表、环境差异、Feature Flag、kill switch、前端公开 env 或 AI runtime 参数时使用","配置注册表；环境矩阵；flag 生命周期；runtime log；runbook；Go/Vite；AI 配置；人工门禁","docs/01-minimal-rd-kernel.md;docs/W4-build/00-main.md;Twelve-Factor App;Google SRE;OpenFeature;Kratos Config;Vite Env;gRPC Service Config","与 secret 生命周期、AI 路由、数据迁移、Auth/entitlement、发布 rollout 和运行审计存在重叠","来源明确声明冲突时以最小内核为准；生产运行时切换与敏感配置须保留人工决定",reviewed,2026-07-16
"SRC-W4-006","docs/W4-build/05-dev-workspace-ai-coding-standard.md","W4 触发专项：开发工作区、命令自动化与 AI 协作编码规范","统一开发工作区可复现性、本地命令、应用模板 provenance 和 AI 编码批次证据","实现涉及本地工具链、命令目录、seed/fixtures、one-step verify、AI coding、批次日志、自审或 verification 时使用","模板来源；本地集成；命令目录；AI coding 工件；验证；真实副作用；人工门禁","docs/01-minimal-rd-kernel.md;docs/W4-build/00-main.md;OpenSpec;Kratos;Go;Vite;sqlc;Protobuf","与各实现专项、测试策略、AI 工具权限和发布证据存在重叠","来源明确声明冲突时以最小内核为准；真实副作用与并行 agent 权限必须保留人工门禁",reviewed,2026-07-16
"SRC-W4-007","docs/W4-build/06-external-side-effects-standard.md","W4 触发专项：计费、Webhook、事件与用户通知外部副作用规范","统一治理钱、权益、第三方状态、用户触达和开发者集成副作用的幂等、审计、重试与回滚","实现涉及计费权益用量、Webhook、事件、外部 provider、通知、退订、送达或公开 API 示例副作用时使用","账本；inbox/outbox；webhook 验签；通知偏好与同意；敏感数据；人工门禁","docs/01-minimal-rd-kernel.md;docs/W4-build/00-main.md;W2 API;W6;W9","与计费、事件/webhook、消息通知、异步 worker、供应商和对外声明规则存在重叠","来源明确声明冲突时以最小内核为准；真实退款、批量副作用与 bypass 必须人工裁决",reviewed,2026-07-16
"SRC-W4-008","docs/W4-build/07-async-job-worker-standard.md","W4 Build 触发专项：AI 异步任务、队列与后台 Worker 治理规范","治理生产异步 workflow 的 job contract、状态、租约、重试、取消、死信、用户可见性和恢复","实现涉及长任务、队列、worker、Batch/background、RAG 入库、导入导出、retry、backfill、取消或异步状态时使用","job/queue registry；状态机；worker runbook；测试；运维复盘；Go/Vite；AI job；人工门禁","docs/01-minimal-rd-kernel.md;docs/W4-build/00-main.md;W3;W7;Enterprise Integration Patterns;Google SRE;OpenTelemetry;OpenAI Background Mode;OpenAI Batch API","与数据 backfill、外部副作用、AI runtime、配置 kill switch、观测和 admin ops 存在重叠","来源明确声明冲突时以最小内核为准；自动重试、回放、跨租户处理和隐私保留必须人工决定",reviewed,2026-07-16
"SRC-W5-001","docs/W5-verify/00-main.md","W5 Verify 核心规范","在发布或生产运行前汇总实现不会明显伤害用户、数据、成本、可靠性、可访问性、安全或信任的验证证据","用户可见功能、生产代码、公共 API、数据迁移、配置、后台任务、外部集成、计费、通知、开发者接口及 AI workflow 的发布前验证","验证范围；证据层级；人工判断；专项触发；W6 出口；完成检查","docs/01-minimal-rd-kernel.md;docs/W0-intake/00-main.md;docs/W1-discovery/00-main.md;docs/W2-openspec-risk/00-main.md;docs/W3-ai-behavior/00-main.md;docs/W4-build/00-main.md;W6;W7;W8","与 W2 风险边界、W3 AI 行为、W4 实现证据、W6 发布门禁和 W7/W8 运行学习存在重叠","来源明确声明冲突时以最小内核为准；本批仅登记不裁决",reviewed,2026-07-17
"SRC-W5-002","docs/W5-verify/01-testing-quality-standard.md","W5 Verify 触发专项：测试与质量策略规范","用最少、最快、最可信的风险驱动测试组合保护最重要的 Go、Vite 和 AI 行为","验证涉及测试策略、test matrix、test run、flaky、Go/Vite/sqlc/gRPC 门禁、AI eval 或发布前质量证据时按需使用","测试策略；矩阵；关键旅程；test run；flaky；测试分层；后端/前端/AI 门禁；覆盖率；人工判断","docs/01-minimal-rd-kernel.md;docs/W5-verify/00-main.md;OpenSpec;Go testing;sqlc;Vitest;Playwright;OpenAI evals","与 W3 eval、W4 开发工作区和 W6 release gate 的验证证据存在重叠","来源明确声明冲突时以最小内核为准；关键旅程 Browser E2E 与发布例外必须保留人工边界",reviewed,2026-07-17
"SRC-W5-003","docs/W5-verify/02-accessibility-ai-ux-standard.md","W5 Verify 触发专项：可访问性、AI UX 与界面信任规范","使用户可见 surface 具备可执行交互契约、可访问性验证、AI 透明说明、纠错反馈与诚实降级状态","验证涉及用户界面、关键交互、键盘/焦点、WCAG、AI disclosure、反馈纠错、降级状态或界面信任时按需使用","surface map；interaction contract；accessibility test plan；AI UX disclosure；UX review；后端状态；Vite/Geist；AI workflow；人工判断","docs/01-minimal-rd-kernel.md;docs/W5-verify/00-main.md;WCAG 2.2;WAI-ARIA;MDN;Vercel Geist;NIST AI RMF;W3;W8","与前端实现、AI 行为、用户反馈、admin/auth/red-team 和发布 gate 存在重叠","来源明确声明冲突时以最小内核为准；高影响 AI、可访问性例外与敏感数据必须保留人工决定",reviewed,2026-07-17
"SRC-W5-004","docs/W5-verify/03-operational-risk-verification-standard.md","W5 触发专项：性能、容量、韧性与降级验证规范","把性能回归和韧性演练合并为上线前运行风险门禁，验证预算、失败模式、降级、停止、恢复和 blast radius","验证涉及性能预算、负载画像、benchmark、Web Vitals、DB/AI latency、容量、依赖失败、retry、dead letter、fallback 或降级 UI 时按需使用","运行风险工件；性能与容量指标；failure mode；stop condition；降级；基线；真实环境人审；W6 承接","docs/01-minimal-rd-kernel.md;docs/W5-verify/00-main.md;W6;W7","与测试质量、发布 go/no-go、SLO/runbook 和故障演练存在重叠","来源明确声明冲突时以最小内核为准；真实 provider/数据/流量验证及缺口发布必须人工判断",reviewed,2026-07-17
"SRC-W6-001","docs/W6-release/00-main.md","W6 Release 核心规范","在 W5 证据足够后决定能否及如何发布、对谁上线、可承诺什么，以及失败时如何回滚或更正","生产发布、客户试点和上线、对外 claim、合同/SLA/DPA/商业承诺及其交接","发布决策；release evidence；客户上线；对外声明；商业义务；人工判断；专项触发；W7 出口；完成检查","docs/01-minimal-rd-kernel.md;docs/W0-intake/00-main.md;docs/W1-discovery/00-main.md;docs/W2-openspec-risk/00-main.md;docs/W3-ai-behavior/00-main.md;docs/W4-build/00-main.md;docs/W5-verify/00-main.md;W7;W8;W9","与 W2 风险和商业边界、W3 AI 证据、W4 实现、W5 验证及 W7/W8/W9 运行学习维护存在重叠","来源明确声明冲突时以最小内核为准；生产发布、强 claim、非标准义务和带缺口上线必须人工决定",reviewed,2026-07-17
"SRC-W6-002","docs/W6-release/01-release-pipeline-standard.md","W6 Release 触发专项：生产部署与发布流水线规范 v0.1","把 OpenSpec、CI gates、不可变 artifact、环境部署、smoke、SLO 观察和 rollback 串成可重复 release path","工作涉及 CI/CD、release artifact、preview/staging/production deploy、smoke、rollback、post-deploy watch、secrets/OIDC 或 provenance/SBOM 时按需使用","默认发布决策；pipeline schema；流水线步骤；backend/frontend/AI gates；secrets；rollback；release log；人工判断","docs/01-minimal-rd-kernel.md;docs/W6-release/00-main.md;OpenSpec;W7 SRE-lite;GitHub Actions/OIDC;Docker;Go;sqlc;Vite","与 W5 测试证据、W4 migration/config/AI artifact、W7 SLO/runbook 和供应链规则存在重叠","来源明确声明冲突时以最小内核为准；production、migration、自动回滚、长期 secret 和高风险副作用必须人工决定",reviewed,2026-07-17
"SRC-W6-003","docs/W6-release/02-customer-pilot-onboarding-launch-standard.md","W6 Release 触发专项：客户试点、上线导入与租户交付规范","把客户试用或上线变为有成功标准、租户事实、readiness、支持和退出路径的可重复交付流程","工作涉及 design partner、private beta、paid pilot、production go-live、租户导入、客户数据、SSO/SCIM、live billing、客户验收或 offboarding 时按需使用","pilot charter；tenant provisioning；launch readiness；success plan；handoff review；后端/前端/AI；人工判断","docs/01-minimal-rd-kernel.md;docs/W6-release/00-main.md;W1;W2;W3;W4;W7;W8;AWS SaaS Lens;OpenAI;Stripe","与产品发现、auth/tenant、客户数据生命周期、计费权益、支持、合同、发布与运行专项存在重叠","来源明确声明冲突时以最小内核为准；真实客户数据、生产/付费转换、required gate 风险、AI 数据使用和外部承诺必须人工判断",reviewed,2026-07-17
"SRC-W6-004","docs/W6-release/03-external-claim-evidence-release-gate-standard.md","W6 Release 触发专项：对外承诺、声明与证据发布门禁规范","把跨官网、产品、文档、支持、销售和合同的外部 claim 变为可追溯证据、owner、时效、范围和更正路径的发布门禁","工作涉及官网、pricing、docs、developer portal、AI disclosure、trust/security/privacy、support/sales 文案、release notes 或任何对外强声明时按需使用","surface inventory；claim evidence map；release gate；correction runbook；claim review；后端/前端/AI；人工判断","docs/01-minimal-rd-kernel.md;docs/W6-release/00-main.md;W2;W4;W9;FTC;NIST AI RMF;OECD AI Principles;Google SRE;OpenAI data controls","与信任政策、审计证据、客户数据与供应商处理、商业义务和开发者文档存在重叠","来源明确声明冲突时以最小内核为准；高风险 claim、证据不足/过期、外部更正和专业意见必须人工决定",reviewed,2026-07-17
"SRC-W7-001","docs/W7-operate/00-main.md","W7 Operate 核心规范","定义 W7 运行阶段的唯一核心入口、边界、最小产出、人工判断和进入 W8/W9 的出口","发布或上线后判断运行事实、止血恢复、生产动作、安全事故与凭据风险时按需使用","唯一入口；运行边界；最小产出；人工判断；触发专项；W8/W9 出口；完成检查","docs/01-minimal-rd-kernel.md;W0;W2;W4;W5;W6;W8;W9;docs/W7-operate/01-sre-lite-operations-standard.md;docs/W7-operate/02-admin-ops-action-standard.md;docs/W7-operate/03-security-privacy-incident-vulnerability-standard.md;docs/W7-operate/04-credential-secret-lifecycle-standard.md","与 W6 发布、W5 验证、W4 实现、W2 风险边界及 W8/W9 学习维护接口重叠","来源明确声明冲突时以最小内核为准；生产恢复、高风险人工动作、基础设施破坏性变更和安全/隐私风险必须人工判断","reviewed","2026-07-17"
"SRC-W7-002","docs/W7-operate/01-sre-lite-operations-standard.md","W7 Operate 触发专项：SRE-lite 运维规范 v0.1","把生产可靠性压缩为可执行的 SLO、告警、runbook、发布观察、事故复盘与轻量恢复闭环","涉及 SLO、SLI、告警、runbook、incident、postmortem、toil、release watch、恢复或基础设施运行准备时按需使用","SLO；监控观测；恢复与基础设施；告警；发布；incident；postmortem；toil；人工判断","docs/01-minimal-rd-kernel.md;docs/W7-operate/00-main.md;Google SRE;DORA;OpenTelemetry;OpenSpec","与 W5 验证、W6 发布、W7 事故响应、观测、备份恢复和基础设施边界重叠","来源明确声明冲突时以最小内核为准；合同 SLA、24/7、生产恢复、数据/权限/隐私和自动回滚必须人工判断","reviewed","2026-07-17"
"SRC-W7-003","docs/W7-operate/02-admin-ops-action-standard.md","W7 Operate 触发专项：后台运营、人工操作与高风险动作规范","约束后台运营、人工生产操作、one-off 命令、break-glass 和 AI operator action 的授权、预检、执行、审计与恢复","涉及 admin/support console、人工生产动作、production SQL、dry-run、break-glass、审计日志或 AI 写操作时按需使用","action registry；风险级别；operator playbook；audit schema；break-glass；ops review；Go/Vite/AI；人工判断","docs/01-minimal-rd-kernel.md;docs/W7-operate/00-main.md;Twelve-Factor App;Google SRE;OWASP;NIST;OpenAI Agent Builder Safety","与 auth/tenant、数据修复、计费权益、审计日志、AI tool runtime 和 incident response 重叠","来源明确声明冲突时以最小内核为准；R2-R4、跨租户、退款/删除/权限、生产 SQL 和 AI 写工具必须人工判断","reviewed","2026-07-17"
"SRC-W7-004","docs/W7-operate/03-security-privacy-incident-vulnerability-standard.md","W7 Operate 触发专项：安全/隐私事故、漏洞披露与应急响应治理规范","定义安全/隐私事故与漏洞披露的分级、止血、证据、通知、恢复和复盘最小系统","涉及漏洞、入侵、credential exposure、租户隔离、个人数据、供应链、AI 安全事故、通知或 advisory 时按需使用","response plan；incident register；severity；notification matrix；vulnerability disclosure；post-incident review；Go/Vite/AI；人工判断","docs/01-minimal-rd-kernel.md;docs/W7-operate/00-main.md;NIST;Google SRE;FTC;GDPR/EDPB;OWASP;CISA;FIRST;CVSS;MITRE ATT&CK;NIST AI RMF","与 W2 安全/供应商/合同边界、W4 通知、W7 凭据与后台运营、W8 支持、W9 证据维护重叠","来源明确声明冲突时以最小内核为准；通知期限不得泛化，个人数据、重大漏洞、外部通知和风险接受必须人工判断","reviewed","2026-07-17"
"SRC-W7-005","docs/W7-operate/04-credential-secret-lifecycle-standard.md","W7 Operate 触发专项：凭据、密钥与服务账号生命周期规范","建立凭据 metadata inventory、访问边界、轮换计划/证据、撤销路径和泄露复盘","涉及 API key、service account、webhook/TLS/private key、provider key、CI/OIDC、rotation、revocation 或 exposure 时按需使用","credential inventory；access policy；rotation plan；rotation run；exposure review；Go/Vite/AI；执行顺序；人工判断","docs/01-minimal-rd-kernel.md;docs/W7-operate/00-main.md;W2;W4;W7 incident;OWASP;NIST;Twelve-Factor App;GitHub;OpenAI;Google Cloud;Kratos;gRPC;Vite","与 W2 安全基线、W4 配置、W7 安全事故、CI/CD、前端环境变量和 AI tool runtime 重叠","来源明确声明冲突时以最小内核为准；真实 secret 不入库，生产轮换/撤销、长期 key、前端暴露和不可撤销风险必须人工判断","reviewed","2026-07-17"
"SRC-W8-001","docs/W8-learn/00-main.md","W8 Learn 核心规范","定义 W8 学习阶段的唯一入口，把支持、质量、事故和 AI 回归信号转成一个下一步决策","发布和运行后需要从支持、产品指标、AI telemetry、eval、事故或客户信号选择继续、改进、回滚、停止或维护时使用","唯一入口；学习边界；最小产出；人工判断；支持/质量专项；跨 W 回流；出口；完成检查","docs/01-minimal-rd-kernel.md;W0;W1;W2;W3;W4;W5;W6;W7;W9;docs/W8-learn/01-customer-support-trust-ops-standard.md;docs/W8-learn/02-ai-quality-regression-incident-standard.md","与 W0/W1 产品决策、W3 AI 行为、W4 修复、W6 沟通发布、W7 事故和 W9 沉淀重叠","来源明确声明冲突时以最小内核为准；公开沟通、补偿、AI 伤害、原始数据采样、回滚和客户内容再利用必须人工判断","reviewed","2026-07-17"
"SRC-W8-002","docs/W8-learn/01-customer-support-trust-ops-standard.md","W8 Learn 触发专项：客户支持、反馈分流与信任运营规范","把客户支持、反馈分流、信任运营与产品学习连接成可恢复用户并减少重复支持的闭环","涉及支持队列、反馈、回复模板、事故沟通、退款/权益/隐私安全请求、AI 投诉或 top contact drivers 时按需使用","support intake；分类与指标；playbook；templates；feedback ledger；review；Go/Vite/AI；人工判断","docs/01-minimal-rd-kernel.md;docs/W8-learn/00-main.md;ITIL;Google SRE;Atlassian;Zendesk;Intercom;OpenAI;NIST AI RMF","与 W4 billing/通知、W6 外部沟通、W7 incident/admin、安全隐私、W3 eval 和 W8 AI 质量重叠","来源明确声明冲突时以最小内核为准；退款/credit、事故公开、法律隐私安全、生产数据和支持承诺必须人工判断","reviewed","2026-07-17"
"SRC-W8-003","docs/W8-learn/02-ai-quality-regression-incident-standard.md","W8 Learn 触发专项：AI 质量回归、线上质量事故与回滚规范","把线上 AI 质量信号连接到回归分级、止血、回滚、eval 回流与质量复盘","涉及 AI 质量回归、线上质量事故、signal contract、rollback、incident log、quality review 或事故样本回流 eval 时按需使用","quality signal contract；Q-SEV；triage；rollback runbook；incident log；quality review；Go/Vite/AI；人工判断","docs/01-minimal-rd-kernel.md;docs/W8-learn/00-main.md;W3;W7;OpenAI Evals/Agents tracing;OpenTelemetry GenAI;Google SRE;NIST AI RMF","与 W3 prompt/eval/model/routing、W7 telemetry/incident、W8 support、W4 config/feature flag 和 W9 evidence 重叠","来源明确声明冲突时以最小内核为准；Q-SEV1/2、rollout/rollback、低质量 fallback、原始数据采样和 guardrail 降低必须人工判断","reviewed","2026-07-17"
